GBRS,Country,Version,D1_Credit_Weight,D1_Justification,D2_BIPV_Specificity,D2_Justification,D3_Application_Coverage,D3_Justification,D4_Design_Integration,D4_Justification,D5_Ambition_Level,D5_Justification,D6_Performance_Verification,D6_Justification,D7_Synergy_Envelope,D7_Justification,D8_Innovation_Pathway,D8_Justification,Manual_Verified
Estidama Pearl,UAE,Pearl v1.0,2,"RE-R1 (mandatory RE feasibility) and RE-1 to RE-3: renewable energy ~8-10% of total credits. RE-3 max 7 pts (feasibility + 1-25% energy tiers). Pages 97-101.",1,"No specific BIPV language; on-site renewable energy systems. Solar photovoltaics named in RE-3 submission documents but no BIPV/BAPV distinction. Pages 97-101.",1,"Roof PV primary; shading PV mentioned in hot climate context. RE-3 eligible technologies include solar electricity and solar thermal. Pages 97-101.",1,"Energy audit and RE assessment required via RE-R1 (mandatory requirement). RE-3 performance method has feasibility component.",2,"Requires minimum 3% on-site RE for lowest RE-3 tier; max credits at 25% onsite RE; aligned with Abu Dhabi sustainability goals. Pages 97-101.",2,"Post-occupancy energy performance monitoring required for Pearl-rated buildings. Pages 97-101.",0,"PV in Resourceful Energy category only. No envelope synergy documented.",1,"Innovation credit for exceeding RE targets.",True
GSAS/QSAS,Qatar,v2.1,1,"Energy category: renewable energy sub-criteria ~5% of total. Existing matrix data retained.",1,"No BIPV distinction; generic renewable energy.",1,"Roof PV standard; no facade or window PV pathway.",0,"No mandatory solar study.",1,"Modest renewable energy contribution targets.",1,"Post-occupancy data collection encouraged.",0,"PV in Energy only.",1,"Innovation possible but not PV-specific.",False
Green Globes,USA/Canada,2021 NC,1,"Section 3.4.1 On-Site Renewable Energy: 30/1000 pts (~3%). Feasibility study 5 pts + on-site RE % up to 25 pts. Pages 205-211.",1,"No BIPV distinction; generic renewable energy. Section 3.4.1 does not name solar PV specifically nor distinguish BIPV/BAPV. Pages 205-211.",1,"Roof PV primary; no specific facade recognition. Section 3.4.1 lists 'on-site renewable energy systems' generically. Pages 205-211.",0,"Feasibility study optional but earns 5 pts (3.4.1.1). No mandatory solar study; self-assessment approach. Pages 205-211.",1,"Points for on-site renewable percentage (5-100%+ of energy cost); modest targets accessible. Pages 208-209.",1,"Commissioning and verification included in Sections 3.7-3.8. No PV-specific ongoing M&V. Pages 22-24.",0,"PV in Energy only.",1,"Continuous improvement pathway (Section 3.4.1.3 encourages exceeding targets).",True
HQE,France,v3 2016,1,"Energy category: renewable energy integration ~5-8% of total. Note: Only Certivea taxonomy alignment report (2023) reviewed; full HQE scheme manual not available.",1,"No specific BIPV language; references French RE2020 regulation which includes PV. Partial data from taxonomy report.",1,"Roof PV standard; French RE2020 increasingly requires facade considerations. Partial data.",1,"Energy study required as part of French building permit; includes renewables assessment. Based on existing matrix data.",2,"RE2020 compliance pushes toward significant renewable contribution; lifecycle carbon approach. Based on existing matrix data.",1,"Post-completion energy audit.",1,"Some crossover with envelope thermal via RE2020 lifecycle approach.",1,"Innovation points available.",Partial
EDGE,Global (IFC),v3,1,"Energy section: renewable energy contributes to 20% energy savings threshold.",0,"No specific PV or BIPV language; focuses on % energy savings.",1,"Roof PV standard pathway; no facade distinction.",0,"No mandatory solar study; simplified certification for emerging markets.",1,"20% minimum energy savings target; PV is one pathway among many.",0,"Self-reported performance; no ongoing M&V.",0,"PV only contributes to energy savings percentage.",0,"No innovation credit.",False
Living Building Challenge,USA (ILFI),LBC 4.0,3,"Imperative I-08 Net Positive Carbon (Energy Petal): 105% net-positive energy MANDATORY from on-site RE only. I-07 requires 70% energy reduction first. Pages 42-45.",2,"All on-site renewable recognised; BIPV encouraged for aesthetic integration via Beauty Imperative I-19. I-08 'on-site renewable energy' allows any form of PV including building-integrated. Pages 42-45.",2,"Roof and facade PV both needed to achieve net-positive mandatory requirement; building envelope treated as energy surface. I-08 pages 42-44.",2,"Integrated energy study inherent in pursuing net-positive; design charrette required. I-07 and I-08 together require full energy strategy. Pages 43-44.",3,"105% net-positive energy from on-site RE only is MANDATORY — most ambitious of any system reviewed. Pages 42-44.",3,"12 months of actual performance data required before certification granted. Continuous monitoring via meters. Pages 44-45.",2,"PV contributes to Energy Petal (I-08) and Materials Petal (I-12 lifecycle); genuine multi-category integration. Pages 42-45.",3,"Entire system is innovation-driven; Beauty Imperative I-19 encourages BIPV aesthetics; Scale Jumping allows off-site RE expansion. Pages 42-45.",True
Passive House,Germany (PHI),Classic/Plus/Premium,1,"PER (Primary Energy Renewable) factor: Plus requires ≥60 kWh/m²a on-site RE generation; Premium requires ≥120 kWh/m²a (relative to building footprint). Classic tier has no generation requirement. Section 2.1 Table 1, pages 10-16.",1,"No specific BIPV language; PV generation counted toward PER balance generically. Rear-ventilated solar collectors/PV panels excluded from cool colour criterion (Section 3.2.9, p.34). No BIPV/BAPV distinction.",1,"Roof PV standard; facade PV can contribute to PER calculation but no specific pathway or incentive. Section 3.2.9, pages 33-34.",0,"No mandatory solar study; focus is on envelope and airtightness first. PHPP calculation implicitly requires PV sizing for Plus/Premium. Pages 10-16.",2,"Plus requires 60 kWh/m²a RE generation; Premium requires 120 kWh/m²a — significant for low-energy buildings with PHPP basis. Section 2.1 Table 1.",2,"Blower door test mandatory; PHPP energy balance verified; energy monitoring encouraged for Plus/Premium. Section 2.1.",1,"PV generation offsets primary energy via PHPP tool; interaction with envelope U-values and shading in energy balance. Pages 10-34.",1,"Premium tier rewards maximum renewable generation; entire system incentivises envelope-first then PV.",True
GRIHA,India,v2019,1,"Criterion 8 Renewable Energy Utilization: max 5 pts/100 (5%). Mandatory 5% RE for daytime-occupancy buildings. Innovation Criterion 30 for net-positive energy pathway. Pages 77-79.",1,"BIPV listed in abbreviations (p.17): 'BIPV = Building-Integrated Photovoltaics'. Not explicitly named in Criterion 8 text but abbreviation recognition suggests awareness. Criterion 28 mentions solar photovoltaic panels.",1,"Roof PV primary; Criterion 28 mentions 'renewable energy systems: solar photovoltaic panels' generically. No facade or window PV pathway.",0,"No mandatory solar study. Criterion 8 is performance-based.",1,"Minimum 5% RE mandatory for daytime-occupancy buildings; max 5 pts at 25% RE. Innovation Criterion 30 for net-positive energy. Pages 77-79.",1,"Post-occupancy monitoring encouraged via Criterion 8 and GRIHA operations framework.",0,"PV in Energy Optimisation category only.",1,"Innovation Criterion 30 includes net-positive energy; generic innovation credit available. Pages 77-79.",True
LOTUS,Vietnam,v2,1,"Credit E-6 Renewable Energy: 2/55 pts (~3.6%). 1 pt at 0.5%, 2 pts at 1.5% of building energy from on-site renewables. Pages 66-68.",0,"No BIPV language in E-6 or elsewhere in reviewed sections. PV listed generically as 'Photovoltaic (PV) & Solar Thermal'. Pages 66-68.",1,"Roof PV assumed standard; no other application types mentioned. E-6 lists valid RE forms but no application type distinction. Pages 66-68.",0,"No mandatory solar study; E-6 is straightforward performance credit. Pages 66-68.",1,"Very modest targets (0.5-1.5% of energy). Pages 66-68.",0,"No PV-specific verification in E-6. Based on manual review.",0,"PV in Energy only.",0,"No specific innovation for renewables in reviewed sections. Pages 66-68.",True
TREES,Thailand,v2,1,"EA2 Renewable Energy: 2/85 pts (~2.4%). 1 pt at 0.5%, 2 pts at 1.5% of annual energy cost. Solar cell explicitly named. Pages 34-35.",0,"No BIPV language in EA2 or reviewed sections. Solar cell named but no BIPV/BAPV distinction. Pages 34-35.",1,"Roof PV (solar cell) assumed; no facade or application type distinction. Pages 34-35.",0,"No mandatory solar study. EA2 is straightforward performance credit. Pages 34-35.",1,"Modest targets: 0.5-1.5% of energy cost. Pages 34-35.",0,"No PV verification required in EA2. Based on manual review.",0,"PV in Energy and Atmosphere only.",0,"No innovation for renewables in EA2; GI Innovation section (5 pts) available but generic. Pages 34-35.",True
MINERGIE,Switzerland,2023,2,"MINERGIE-A requires net-zero energy; PV generation integral to Minergie Coefficient (MKZ) calculation. Full roof PV assumed as MKZ baseline. 2017 standard required ≥10 Wp/m² ERA. Pages 1-2.",1,"No specific BIPV term; PV generation integral to MKZ calculation. Full roof PV assumed generically. No BIPV/BAPV distinction. Pages 1-2.",1,"Roof PV standard (full roof assumed in MKZ baseline); facade PV increasingly important for A-ECO standard but no explicit credit. Pages 1-2.",1,"Energy balance calculation (MKZ) required; inherently includes PV sizing at design stage. Pages 1-2.",3,"MINERGIE-A requires net-zero energy balance; very ambitious. Plus standard: energy demand reduction. 2017 Wp/m² requirement demonstrates direct RE mandate. Pages 1-2.",2,"Operational energy monitoring required for MINERGIE certification maintenance from 1000m² ERA. Pages 1-2.",1,"PV contributes to energy balance MKZ; some interaction with envelope via MINERGIE-P standard.",1,"MINERGIE-A ECO rewards comprehensive approach; Premium tier maximises renewable generation.",True
