GBRS,Country,Version,D1_Credit_Weight,D1_Justification,D2_BIPV_Specificity,D2_Justification,D3_Application_Coverage,D3_Justification,D4_Design_Integration,D4_Justification,D5_Ambition_Level,D5_Justification,D6_Performance_Verification,D6_Justification,D7_Synergy_Envelope,D7_Justification,D8_Innovation_Pathway,D8_Justification
Estidama Pearl,UAE,Pearl v1.0,2,"RE-R1 and RE-1 to RE-3: renewable energy ~8-10% of total credits",1,"No specific BIPV language; on-site renewable energy systems",1,"Roof PV primary; shading PV mentioned in hot climate context",1,"Energy audit and renewable assessment encouraged at design stage",2,"Requires minimum 5% on-site renewable; higher tiers need more; aligned with Abu Dhabi goals",2,"Post-occupancy energy performance monitoring required for Pearl rated buildings",0,"PV in Energy category only",1,"Innovation credit for exceeding renewable targets"
GSAS/QSAS,Qatar,v2.1,1,"Energy category: renewable energy sub-criteria ~5% of total",1,"No BIPV distinction; generic renewable energy",1,"Roof PV standard; no facade or window PV pathway",0,"No mandatory solar study",1,"Modest renewable energy contribution targets",1,"Post-occupancy data collection encouraged",0,"PV in Energy only",1,"Innovation possible but not PV-specific"
Green Globes,USA/Canada,2021 NC,1,"Energy section: on-site renewable ~5% of total points",1,"No BIPV distinction; generic renewable",1,"Roof PV primary; no specific facade recognition",0,"No mandatory solar study; self-assessment approach",1,"Points for on-site renewable percentage; modest targets",1,"Commissioning and verification included",0,"PV in Energy only",1,"Continuous improvement pathway"
HQE,France,v3 2016,1,"Energy category: renewable energy integration ~5-8% of total",1,"No specific BIPV language; references French RT2012/RE2020 which mentions PV",1,"Roof PV standard; French regulations increasingly require facade considerations",1,"Energy study required as part of French building permit; includes renewables assessment",2,"RE2020 compliance pushes toward significant renewable contribution; lifecycle carbon approach",1,"Post-completion energy audit",1,"Some crossover with envelope thermal via RE2020 lifecycle approach",1,"Innovation points available"
EDGE,Global (IFC),v3,1,"Energy section: renewable energy contributes to 20% energy savings threshold",0,"No specific PV or BIPV language; focuses on % energy savings",1,"Roof PV standard pathway; no facade distinction",0,"No mandatory solar study; simplified certification for emerging markets",1,"20% minimum energy savings target; PV is one pathway among many",0,"Self-reported performance; no ongoing M&V",0,"PV only contributes to energy savings percentage",0,"No innovation credit"
Living Building Challenge,USA (ILFI),LBC 4.0,3,"Energy Petal: 100% net-positive energy MANDATORY; ~14% of total imperatives",2,"All on-site renewable recognized; BIPV encouraged for aesthetic integration",2,"Roof and facade PV both needed to achieve net-positive; building envelope as energy surface",2,"Integrated energy study inherent in pursuing net-positive; design charrette required",3,"100% net-positive energy is MANDATORY; the most ambitious of any system",3,"12 months of actual performance data required; continuous monitoring",2,"PV contributes to Energy Petal and Materials Petal (lifecycle); genuine integration",3,"Entire system is innovation-driven; beauty imperative encourages BIPV aesthetics"
Passive House,Germany (PHI),Classic/Plus/Premium,1,"PER (Primary Energy Renewable) factor includes PV generation; Plus and Premium require on-site RE",1,"No specific BIPV language; PV generation counted toward PER balance",1,"Roof PV standard; facade PV can contribute to PER but no specific pathway",0,"No mandatory solar study; focus is on envelope and airtightness first",2,"Plus requires 60 kWh/m2a RE generation; Premium requires 120 kWh/m2a; significant for low-energy buildings",2,"Blower door test mandatory; energy monitoring encouraged for Plus/Premium",1,"PV generation offsets primary energy; some interaction with envelope via PHPP tool",1,"Premium tier rewards maximum renewable generation"
GRIHA,India,v2019,1,"Energy section: renewable energy ~5-8% of total points",1,"No BIPV distinction; on-site renewable energy",1,"Roof PV primary; no facade recognition",0,"No mandatory solar study",1,"Minimum renewable energy contribution for credits",1,"Post-occupancy encouraged",0,"PV in Energy only",1,"Innovation credit generic"
LOTUS,Vietnam,v2,1,"Energy section: renewable energy ~5% of total",0,"No BIPV or specific PV language",1,"Roof PV assumed; no other application types",0,"No mandatory solar study",1,"Modest renewable targets",0,"No PV-specific verification",0,"PV in Energy only",0,"No specific innovation for renewables"
TREES,Thailand,v2,1,"Energy section: renewable energy ~5% of total",0,"No BIPV language",1,"Roof PV assumed",0,"No mandatory solar study",1,"Modest targets",0,"No PV verification",0,"PV in Energy only",0,"No innovation for renewables"
MINERGIE,Switzerland,2023,2,"MINERGIE-A requires net-zero energy; significant PV weight in A and P standards",1,"No specific BIPV term but PV generation integral to MINERGIE-A calculation",1,"Roof PV standard; facade PV increasingly important for A-ECO standard",1,"Energy balance calculation required; inherently includes PV sizing at design stage",3,"MINERGIE-A requires net-zero energy balance; very ambitious",2,"Operational energy monitoring required for MINERGIE certification maintenance",1,"PV contributes to energy balance; some interaction with envelope via Minergie-P",1,"MINERGIE-A ECO rewards comprehensive approach"
