# BIPV/PV Criteria Mapping Framework
# 21 GBRS × 12 Technical Dimensions
# 
# For each cell: 
#   0 = Not mentioned at all
#   1 = Mentioned indirectly (e.g., "renewable energy" without specifying PV)
#   2 = Mentioned explicitly (e.g., "solar PV", "photovoltaic")
#   3 = Dedicated credit/criteria with specific requirements
#
# Plus metadata columns: credit_id, category, points, requirement_type, exact_text

GBRS,Dim,Score,Credit_ID,Category,Points_Available,Total_System_Points,Requirement_Type,Exact_Language,Notes
CASBEE,D_Shading_PV,1,Q1,Quality,varies,,Performance,"thermal environment; solar shading","Shading for thermal comfort; no PV-integrated shading"
CASBEE,E_Glass_Energy_PV,0,,,,,,,"No glass-PV criteria"
CASBEE,F_Thermal_Envelope,2,LR1,Energy,varies,,Performance,"building envelope thermal load; heat insulation","Envelope thermal performance assessed; no PV-specific guidance"
CASBEE,G_Daylighting_Visual,2,Q1,Quality,varies,,Performance,"light environment; daylight factor","Daylight quality assessed; no PV glazing guidance"
CASBEE,H_Materials_LCA,1,LR2,Resources,varies,,Performance,"lifecycle CO2; materials","Lifecycle assessment exists but PV not specifically addressed"
CASBEE,I_Carbon_Accounting,1,LR3,Energy,varies,,Performance,"CO2 emission reduction","PV contributes to operational carbon reduction"
CASBEE,J_EV_Storage,0,,,,,,,"No EV/storage criteria linked to PV"
CASBEE,K_Design_Integration,0,,,,,,,"No mandatory solar feasibility study"
CASBEE,L_Innovation,0,,,,,,,"No specific innovation pathway for renewables"
Green Star,A_Roof_PV,2,Energy,Energy,25,100,Performance,"GHG emissions reduction via whole-building modeling","PV reduces GHG in energy model"
Green Star,B_Facade_PV,1,Energy,Energy,25,100,Performance,"whole-building energy simulation","Facade PV can contribute to model"
Green Star,C_Window_Curtain_PV,1,Energy,Energy,25,100,Performance,"energy simulation includes glazing","PV glazing possible but no specific guidance"
Green Star,D_Shading_PV,1,Energy,Energy,25,100,Performance,"energy simulation; shading modeled","Shading affects energy model; PV shading not specified"
Green Star,E_Glass_Energy_PV,0,,,,,,,"No glass-PV specific criteria"
Green Star,F_Thermal_Envelope,2,Energy,Energy,25,100,Performance,"building fabric; thermal performance","Envelope performance critical for energy rating"
Green Star,G_Daylighting_Visual,2,IEQ,Indoor Environment Quality,12,100,Performance,"daylight; visual comfort","Daylight requirements present; no PV glazing guidance"
Green Star,H_Materials_LCA,2,Materials,Materials,14,100,Performance,"lifecycle assessment; responsible materials","LCA credit exists; PV materials not specifically addressed"
Green Star,I_Carbon_Accounting,3,Energy,Energy,25,100,Performance,"net-zero carbon pathway; 6-Star requires net-zero","PV essential for net-zero certification"
Green Star,J_EV_Storage,1,Transport,Transport,,100,Performance,"sustainable transport","Basic EV provisions; no PV link"
Green Star,K_Design_Integration,1,Management,Management,,100,Process,"commissioning; building tuning","No mandatory solar study"
Green Star,L_Innovation,3,Innovation,Innovation,10,100,Performance,"Innovation Challenge; net-positive energy","Strong innovation pathway for beyond-net-zero"
WELL,A_Roof_PV,0,,,,,,,"No PV criteria"
WELL,B_Facade_PV,0,,,,,,,"No facade PV criteria"
WELL,C_Window_Curtain_PV,0,,,,,,,"No window PV criteria"
WELL,D_Shading_PV,1,L06,Light,,varies,Performance,"solar glare control; automated shading","Shading for glare but not PV-integrated"
WELL,E_Glass_Energy_PV,0,,,,,,,"No glass-PV criteria"
WELL,F_Thermal_Envelope,0,,,,,,,"No envelope criteria relevant to PV"
WELL,G_Daylighting_Visual,3,L01-L08,Light,,varies,Performance,"daylight; electric light quality; visual comfort","Comprehensive daylight but health-focused; no PV angle"
WELL,H_Materials_LCA,0,,,,,,,"No PV-related materials criteria"
WELL,I_Carbon_Accounting,0,,,,,,,"No carbon/energy generation criteria"
WELL,J_EV_Storage,0,,,,,,,"No EV/PV criteria"
WELL,K_Design_Integration,0,,,,,,,"No solar design integration"
WELL,L_Innovation,0,,,,,,,"No PV innovation pathway"
LBC,A_Roof_PV,3,E08,Energy Petal,imperative,,Mandatory,"105% net-positive on-site renewable energy","All on-site RE must achieve net-positive; measured over 12 months"
LBC,B_Facade_PV,3,E08,Energy Petal,imperative,,Mandatory,"all suitable building surfaces for energy","Facade PV needed to achieve net-positive in many cases"
LBC,C_Window_Curtain_PV,2,E08,Energy Petal,imperative,,Mandatory,"building as energy-generating surface","Window PV can contribute to net-positive target"
LBC,D_Shading_PV,2,E08,Energy Petal,imperative,,Mandatory,"on-site generation from all feasible sources","PV shading devices contribute to energy petal"
LBC,E_Glass_Energy_PV,2,E08,Energy Petal,imperative,,Mandatory,"all building components as energy opportunities","Glass-PV integration encouraged for aesthetic beauty"
LBC,F_Thermal_Envelope,2,E07,Energy Petal,imperative,,Mandatory,"energy reduction before generation","Envelope performance mandatory; reduces PV needed"
LBC,G_Daylighting_Visual,2,H09,Health & Happiness,imperative,,Mandatory,"biophilic environment; daylight","Daylight required; balance with PV generation"
LBC,H_Materials_LCA,3,M10-M13,Materials Petal,imperative,,Mandatory,"embodied carbon footprint; responsible industry","PV module lifecycle explicitly in scope"
LBC,I_Carbon_Accounting,3,E08,Energy Petal,imperative,,Mandatory,"105% net-positive measured performance","Most rigorous carbon accounting; 12-month measurement"
LBC,J_EV_Storage,2,E08,Energy Petal,imperative,,Mandatory,"on-site energy systems","PV+storage needed for net-positive"
LBC,K_Design_Integration,3,E07,Energy Petal,imperative,,Mandatory,"integrated design charrette required","Solar integration inherent in pursuing net-positive"
LBC,L_Innovation,3,B18-B20,Beauty Petal,imperative,,Mandatory,"beauty + inspiration; biophilic design","BIPV aesthetic integration aligns with beauty imperative"
Passive House,A_Roof_PV,2,PER,Energy,varies,,Performance,"primary energy renewable factor; Plus/Premium tiers","Plus: 60 kWh/m2a RE; Premium: 120 kWh/m2a RE"
Passive House,B_Facade_PV,1,PER,Energy,varies,,Performance,"PV generation counts toward PER balance","Facade PV can contribute but no specific guidance"
Passive House,C_Window_Curtain_PV,1,PER,Energy,varies,,Performance,"window thermal performance focus","Window U-values critical; PV glazing not addressed"
Passive House,D_Shading_PV,1,,,,,,,"Shading for overheating prevention; not PV-specific"
Passive House,E_Glass_Energy_PV,1,,,,,,,"High-performance glass focus but not PV glass"
Passive House,F_Thermal_Envelope,3,PHI,Energy,mandatory,,Prescriptive,"U-values; thermal bridge free; airtightness 0.6 ACH","Most rigorous envelope standard; BIPV must meet U-value requirements"
Passive House,G_Daylighting_Visual,1,,,,,,,"Overheating prevention; solar gains management"
Passive House,H_Materials_LCA,1,PH-ECO,Ecology,varies,,Performance,"PH-ECO includes lifecycle assessment","Available in ECO variant"
Passive House,I_Carbon_Accounting,2,PER,Energy,varies,,Performance,"primary energy renewable factor","PV directly reduces PER factor"
Passive House,J_EV_Storage,0,,,,,,,"No EV/storage criteria"
Passive House,K_Design_Integration,1,PHPP,Energy,mandatory,,Process,"PHPP tool models energy balance including PV","PV sizing inherent in PHPP modeling"
Passive House,L_Innovation,1,,,,,,,"Premium tier rewards maximum RE generation"
MINERGIE,A_Roof_PV,3,MKP,Energy,mandatory,,Performance,"MINERGIE-A: net-zero energy balance; PV required","PV essential for A-standard certification"
MINERGIE,B_Facade_PV,2,MKP,Energy,varies,,Performance,"facade PV increasingly important for A-ECO","Facade PV needed to achieve net-zero on limited roof area"
MINERGIE,C_Window_Curtain_PV,1,MKP,Energy,varies,,Performance,"window thermal requirements","High-performance windows; PV glazing not specified"
MINERGIE,D_Shading_PV,1,,,,,,,"Shading for overheating; not PV-specific"
MINERGIE,E_Glass_Energy_PV,1,,,,,,,"Glass performance requirements; not PV glass"
MINERGIE,F_Thermal_Envelope,3,MKP,Energy,mandatory,,Prescriptive,"strict envelope requirements; insulation standards","Rigorous envelope standard; BIPV must meet thermal requirements"
MINERGIE,G_Daylighting_Visual,1,,,,,,,"Daylight considered in comfort requirements"
MINERGIE,H_Materials_LCA,2,ECO,Ecology,varies,,Performance,"MINERGIE-ECO includes materials lifecycle","Lifecycle assessment in ECO variant"
MINERGIE,I_Carbon_Accounting,3,MKP,Energy,mandatory,,Performance,"energy balance; net-zero for A-standard","Clear net-zero energy accounting"
MINERGIE,J_EV_Storage,1,,,,,,,"Energy storage encouraged but not PV-specific"
MINERGIE,K_Design_Integration,2,MKP,Energy,mandatory,,Process,"energy balance calculation at design stage","PV sizing inherent in MINERGIE calculation"
MINERGIE,L_Innovation,1,,,,,,,"A-ECO rewards comprehensive approach"
Estidama Pearl,A_Roof_PV,2,RE-1,Resourceful Energy,varies,,Prescriptive,"on-site renewable energy; minimum 5%","RE-1 to RE-3: tiered renewable energy credits"
Estidama Pearl,B_Facade_PV,1,RE-1,Resourceful Energy,varies,,Prescriptive,"on-site renewable energy systems","Facade PV could contribute but not specified"
Estidama Pearl,C_Window_Curtain_PV,1,LBe-R2,Livable Buildings,varies,,Performance,"glazing and shading requirements for hot climate","Window performance for solar control; no PV glazing"
Estidama Pearl,D_Shading_PV,2,LBe-R2,Livable Buildings,varies,,Prescriptive,"external shading required; solar heat gain control","Shading mandatory in hot climate; PV shading mentioned in guidance"
Estidama Pearl,E_Glass_Energy_PV,1,LBe-R2,Livable Buildings,varies,,Performance,"glazing thermal performance","Glass performance for hot climate; no PV glass"
Estidama Pearl,F_Thermal_Envelope,2,LBe-R2,Livable Buildings,varies,,Prescriptive,"building envelope thermal requirements; OTTV","Envelope thermal performance mandatory for hot climate"
Estidama Pearl,G_Daylighting_Visual,2,LBe-6,Livable Buildings,varies,,Performance,"daylight and visual comfort","Daylight requirements; shading interaction"
Estidama Pearl,H_Materials_LCA,1,SM,Stewarding Materials,varies,,Performance,"materials lifecycle considerations","Basic lifecycle approach; PV not specifically addressed"
Estidama Pearl,I_Carbon_Accounting,2,RE,Resourceful Energy,varies,,Performance,"energy and carbon reduction targets","PV contributes to carbon reduction"
Estidama Pearl,J_EV_Storage,1,RE,Resourceful Energy,varies,,Performance,"energy management","Basic energy management; no PV-EV link"
Estidama Pearl,K_Design_Integration,3,RE-R1,Resourceful Energy,mandatory,,Process,"MANDATORY renewable energy feasibility study","Must assess RE potential at design stage"
Estidama Pearl,L_Innovation,1,IP,Innovating Practice,varies,,Performance,"innovation credits available","Generic innovation; not PV-specific"
ASGB,A_Roof_PV,2,5.2.16,Energy Saving,10,400,Performance,"合理利用可再生能源; RE electricity ratio (Re) includes solar PV","Section 5.2.16: PV counts toward electricity RE ratio; solar listed as renewable (p.13). No BIPV distinction."
ASGB,B_Facade_PV,1,5.2.16,Energy Saving,10,400,Performance,"太阳能 (solar energy) in renewable energy category","Solar thermal mentioned for facades; no dedicated facade PV pathway. Generic solar credit only."
ASGB,C_Window_Curtain_PV,0,,,,,,,"No window-integrated PV criteria"
ASGB,D_Shading_PV,0,,,,,,,"No PV shading device criteria"
ASGB,E_Glass_Energy_PV,0,,,,,,,"No glass-integrated PV criteria"
ASGB,F_Thermal_Envelope,2,节能设计,Energy Saving,,400,Prescriptive,"建筑围护结构热工性能 envelope thermal performance; U-values, SHGC","Mandatory thermal compliance for walls/windows. BIPV facade must meet envelope U-value requirements."
ASGB,G_Daylighting_Visual,2,室内环境质量,Indoor Environment Quality,,400,Performance,"室内采光系数 daylight factor requirements","Criterion for natural lighting quality. Standard Chinese GB 50033 daylight factor targets."
ASGB,H_Materials_LCA,1,运行评价,Operational Assessment,,400,Performance,"lifecycle consideration in operational assessment","Basic lifecycle in 运行评价 (operation stage assessment); PV not specifically addressed."
ASGB,I_Carbon_Accounting,2,运行评价,Operational Assessment,,400,Performance,"运行评价 requires verified operational data; energy consumption tracking","Operational assessment (运行评价) requires verified post-occupancy performance data including RE output."
ASGB,J_EV_Storage,1,绿色交通,Sustainable Transport,,400,Performance,"电动汽车充电设施 EV charging provisions","Newer standard versions include EV charging provisions; no explicit PV-EV link."
ASGB,K_Design_Integration,0,,,,,,,"No mandatory solar feasibility study"
ASGB,L_Innovation,1,加分项,Bonus Items,,400,Performance,"加分项 bonus items for exceeding minimum thresholds","Generic innovation/bonus items available; not specifically targeted at BIPV."
IGBC,A_Roof_PV,2,EE Cr,Energy Efficiency,8,100,Performance,"All renewable energy systems recognised by MNRE can be accepted under this criterion","On-site renewable ~8/100 pts; MNRE-recognised systems include solar PV. No BIPV distinction."
IGBC,B_Facade_PV,1,EE Cr,Energy Efficiency,8,100,Performance,"on-site renewable energy systems","Generic MNRE-recognised RE credit; facade PV can contribute but no dedicated pathway."
IGBC,C_Window_Curtain_PV,0,,,,,,,"No window PV criteria"
IGBC,D_Shading_PV,0,,,,,,,"No PV shading device criteria"
IGBC,E_Glass_Energy_PV,0,,,,,,,"No glass-integrated PV criteria"
IGBC,F_Thermal_Envelope,2,EE,Energy Efficiency,,100,Prescriptive,"OTTV; building envelope thermal performance requirements","OTTV (Overall Thermal Transfer Value) compliance mandatory; BIPV facade must comply with OTTV."
IGBC,G_Daylighting_Visual,2,IEQ,Indoor Environmental Quality,,100,Performance,"daylight and glare control requirements","Standard daylighting credit requirements; no PV glazing guidance."
IGBC,H_Materials_LCA,1,MA,Materials,,100,Performance,"materials lifecycle considerations","Basic lifecycle awareness; no PV-specific materials assessment."
IGBC,I_Carbon_Accounting,1,EE,Energy Efficiency,,100,Performance,"energy performance tracking; CO2 reduction","Energy reduction targets imply carbon reduction; no explicit carbon accounting framework."
IGBC,J_EV_Storage,1,SS,Sustainable Sites,,100,Performance,"electric vehicle charging provisions","EV provisions present; no explicit PV-EV synergy."
IGBC,K_Design_Integration,0,,,,,,,"No mandatory solar feasibility study"
IGBC,L_Innovation,1,IN,Innovation,,100,Performance,"innovation credits available","Generic innovation credit; not PV-specific."
GSAS/QSAS,A_Roof_PV,1,Energy,Energy,~5% of total,100,Performance,"renewable energy sub-criteria; generic on-site renewable","Renewable energy is a sub-criterion within Energy category (~5%); generic RE language."
GSAS/QSAS,B_Facade_PV,1,Energy,Energy,,100,Performance,"on-site renewable energy systems","Generic RE credit; facade PV can contribute but not specified."
GSAS/QSAS,C_Window_Curtain_PV,0,,,,,,,"No window PV criteria"
GSAS/QSAS,D_Shading_PV,1,Indoor Environment,Indoor Environment,,100,Performance,"solar shading required for hot climate comfort","Mandatory external shading for hot climate; PV shading devices possible but not specified."
GSAS/QSAS,E_Glass_Energy_PV,0,,,,,,,"No glass-integrated PV criteria"
GSAS/QSAS,F_Thermal_Envelope,2,Energy,Energy,,100,Prescriptive,"building envelope thermal requirements for hot arid climate","Envelope U-values and solar heat gain requirements; BIPV facade must comply."
GSAS/QSAS,G_Daylighting_Visual,2,Indoor Environment,Indoor Environment,,100,Performance,"daylighting and visual comfort requirements","Standard daylighting requirements; no PV glazing guidance."
GSAS/QSAS,H_Materials_LCA,1,Materials,Materials,,100,Performance,"lifecycle considerations for building materials","Basic lifecycle awareness; PV not specifically addressed."
GSAS/QSAS,I_Carbon_Accounting,1,Energy,Energy,,100,Performance,"carbon and energy reduction targets","Energy reduction implies carbon savings; no explicit carbon accounting framework."
GSAS/QSAS,J_EV_Storage,0,,,,,,,"No EV/storage criteria linked to PV"
GSAS/QSAS,K_Design_Integration,0,,,,,,,"No mandatory solar feasibility study"
GSAS/QSAS,L_Innovation,1,Innovation,Innovation,,100,Performance,"innovation credits available","Generic innovation pathway; not PV-specific."
Green Globes,A_Roof_PV,2,3.4.1,Energy,30,1000,Performance,"Path A: Feasibility Study completed and on-site renewable is LCCE; on-site renewable energy systems","30/1000 pts for renewable energy; life cycle cost-effectiveness (LCCE) filter applied. Solar PV is implied qualifying technology."
Green Globes,B_Facade_PV,1,3.4.1,Energy,30,1000,Performance,"on-site renewable energy systems","Generic on-site RE; facade PV can contribute to percentage but no specific pathway."
Green Globes,C_Window_Curtain_PV,0,,,,,,,"No window PV criteria"
Green Globes,D_Shading_PV,0,,,,,,,"No PV shading device criteria"
Green Globes,E_Glass_Energy_PV,0,,,,,,,"No glass-integrated PV criteria"
Green Globes,F_Thermal_Envelope,2,3.1,Energy,varies,1000,Performance,"building envelope performance; thermal resistance requirements","Envelope section with U-value/thermal performance requirements; BIPV facade must comply."
Green Globes,G_Daylighting_Visual,2,5.1,Indoor Environment,varies,1000,Performance,"daylighting; visual comfort; illuminance targets","Comprehensive IEQ daylighting requirements; no PV glazing guidance."
Green Globes,H_Materials_LCA,2,4.1,Resources,varies,1000,Performance,"life cycle assessment of building materials; responsible sourcing","LCA section with materials lifecycle metrics; stronger than most regional systems."
Green Globes,I_Carbon_Accounting,1,3.4,Energy,varies,1000,Performance,"energy cost reduction; greenhouse gas reduction","Energy and GHG reduction targets; PV contributes but no dedicated carbon accounting framework."
Green Globes,J_EV_Storage,1,2.1,Site,varies,1000,Performance,"sustainable transportation; EV charging provisions","EV provisions in Site section; no explicit PV-EV synergy."
Green Globes,K_Design_Integration,1,3.4.1.1,Energy,5,1000,Process,"Has a study been conducted determining the technical feasibility and life cycle cost effectiveness of on-site renewable energy?","Feasibility study earns 5 pts but is optional (not mandatory). LCCE test adds economic realism."
Green Globes,L_Innovation,1,Continuous Improvement,Various,,1000,Performance,"continuous improvement pathway","Generic improvement pathway; no PV-specific innovation credit."
HQE,A_Roof_PV,2,Energy themes,Energy,varies,100,Performance,"HQE aligns with RE2020; on-site renewable energy production required for compliance","RE2020 (French building regulation) mandates on-site PV consideration for new buildings; HQE certifies RE2020 compliance."
HQE,B_Facade_PV,1,Energy themes,Energy,varies,100,Performance,"renewable energy production; facade integration possible via RE2020","Facade PV possible under RE2020 but no HQE-specific credit pathway for facade integration."
HQE,C_Window_Curtain_PV,0,,,,,,,"No window-integrated PV criteria"
HQE,D_Shading_PV,1,Indoor Environment,Indoor Environment,varies,100,Performance,"protection solaire; brise-soleil requirements for overheating","External solar protection (brise-soleil) required under French thermal regulation; PV shading not specified."
HQE,E_Glass_Energy_PV,0,,,,,,,"No glass-integrated PV criteria"
HQE,F_Thermal_Envelope,2,Energy themes,Energy,varies,100,Prescriptive,"RE2020 Ubat coefficient; very high envelope performance required","RE2020 mandates very high envelope performance (Ubat); BIPV facade must meet strict thermal requirements."
HQE,G_Daylighting_Visual,2,Indoor Environment,Indoor Environment,varies,100,Performance,"confort visuel; éclairage naturel (visual comfort; natural lighting)","Visual comfort and daylighting requirements under French standards; no PV glazing guidance."
HQE,H_Materials_LCA,2,Environment,Environment,varies,100,Performance,"RE2020 ACV (analyse cycle de vie); embodied carbon targets (Ic construction)","RE2020 introduces lifecycle carbon assessment (ACV) with embodied carbon targets; strong LCA framework."
