EID,Title,Year,Source title,Cited by,DOI,Topic_Category,GBRS_Mentioned,BIPV_Application,Key_Sentences
2-s2.0-85162144903,Passive Solar Façade – Recyclable external wall insulation system using passive solar energy; [Passiv-Solar-Fassade – rezyklierbare Fassadendämmung mit Solarenergienutzung],2023,Bauphysik,0,10.1002/bapi.202300003,Other,Passive House,Façade BIPV,
2-s2.0-85022329472,Production of bulk chemicals from lignocellulosic biomass via thermochemical conversion and syngas fermentation: a comparative techno-economic and environmental assessment of different site-specific supply chain configurations,2017,"Biofuels, Bioproducts and Biorefining",47,10.1002/bbb.1790,Other,None mentioned,Not specified,
2-s2.0-85055877755,Conceptual design of a dedicated-crop biorefinery for Jatropha curcas using a systematic sustainability evaluation,2019,"Biofuels, Bioproducts and Biorefining",11,10.1002/bbb.1940,Other,None mentioned,Not specified,
2-s2.0-85009516242,Strategy Elements for a Sustainable Bioenergy Policy Based on Scenarios and Systems Modeling: Germany as Example,2017,Chemical Engineering and Technology,14,10.1002/ceat.201600259,Policy / Regulation,None mentioned,Not specified,
2-s2.0-85171535816,Increasing green footprints: Indications of transformations in the socio-economic spaces of Bangladesh,2024,Engineering Reports,7,10.1002/eng2.12775,Policy / Regulation,LEED,Not specified,"Bangladesh has further solidified its position as the global leader in green garments factories, as the country has 176 such facilities that have received the USGBC's LEED accreditation. | The article placed a strong emphasis on particular policy proposals, including the adoption of the circular economy, the digital economy, sustainable finance, car-sharing systems, renewable energy sources in manufacturing and workplaces, and environmentally friendly practices in both public and private organizations."
2-s2.0-85203047871,Organic and Inorganic Photoactive Absorbers for Wavelength-Selective Transparent Photovoltaic Devices: Focus Review,2025,Energy Technology,1,10.1002/ente.202400961,BIPV Technical Performance,None mentioned,Window / Curtain Wall BIPV,
2-s2.0-86000647887,Photo-Electrodialysis for Brackish Water Desalination: A Life Cycle Sustainability Assessment from Experimental Insights,2025,Energy Technology,6,10.1002/ente.202402079,BIPV Economics / LCA,None mentioned,Not specified,
2-s2.0-84954423411,Sustainability assessment of photobiological hydrogen production using anaerobic bacteria (Rhodospirillum rubrum) via exergy concept: Effect of substrate concentrations,2016,Environmental Progress and Sustainable Energy,22,10.1002/ep.12296,Other,None mentioned,Not specified,
2-s2.0-85053658871,"A Sustainable Power Supply System, Iran's Opportunities via Bioenergy",2019,Environmental Progress and Sustainable Energy,20,10.1002/ep.12937,Other,None mentioned,Not specified,
2-s2.0-85061941308,Exergetic environmental sustainability assessment supported by Monte Carlo simulations: A case study of a chlorine production process,2019,Environmental Progress and Sustainable Energy,10,10.1002/ep.13179,Other,None mentioned,Not specified,
2-s2.0-85200210549,Exploration of benefits and performances of integration of semitransparent photovoltaics with buildings and infrastructure: A comprehensive review,2024,Environmental Progress and Sustainable Energy,3,10.1002/ep.14464,Net-Zero / Zero-Energy Buildings,None mentioned,Window / Curtain Wall BIPV,"The analysis also considers how SPV integration affects energy and exergy performance, emphasizing its role in achieving net-zero energy buildings."
2-s2.0-105027224320,Parametric design for Net Zero Residential Building in Pakistan,2026,Environmental Progress and Sustainable Energy,0,10.1002/ep.70310,Net-Zero / Zero-Energy Buildings,None mentioned,Rooftop PV,"In addition, the rooftop Building Integrated Photovoltaic (BIPV) systems yielded an annual generation of 6727.68 kWh/year, offsetting a substantial portion of the annual demand of 6258.77 kWh/year and moving the building to a net-zero balance. | To minimize this energy consumption and the impact of buildings on the climate, an essential solution is for buildings to attain the Net Zero Energy Buildings (NZEB) status. | This research explains the influence of design and parametric variables (Building orientation, Roof Materials, External Walls Materials, shading, glazing, lighting, and Heating, Ventilation and Air Conditioning (HVAC) systems) on the cooling load of a residential building located in Peshawar, Pakistan (ASHRAE zone 2B) and to achieve the status of Net Zero Residential Building (NZRB)."
2-s2.0-84868116863,Life cycle sustainability assessment of electricity options for the UK,2012,International Journal of Energy Research,130,10.1002/er.2962,Policy / Regulation,None mentioned,Not specified,
2-s2.0-84886242822,General sustainability indicator of renewable energy system based on grey relational analysis,2013,International Journal of Energy Research,62,10.1002/er.3016,Policy / Regulation,None mentioned,Not specified,
2-s2.0-84942985606,Thermodynamic and environmental impact assessment of steam methane reforming and magnesium-chlorine cycle-based multigeneration systems,2015,International Journal of Energy Research,19,10.1002/er.3317,Other,None mentioned,Not specified,
2-s2.0-84959577040,Feasibility study on applications of solar chimney and earth tube systems for BEAM/LEED assessment,2016,International Journal of Energy Research,10,10.1002/er.3510,GBRS Comparative Analysis,LEED; BEAM Plus,Not specified,This study explores innovative solutions to achieve key requirement of Energy Use (EU) and Indoor Environmental Quality (IEQ) from BEAM/LEED assessments by Solar Chimney (SC) or Earth Tube (ET).
2-s2.0-85023619320,A comprehensive review of solar thermoelectric cooling systems,2018,International Journal of Energy Research,84,10.1002/er.3795,BIPV Economics / LCA,None mentioned,Not specified,
2-s2.0-85066135224,Prediction of thermal buffer zone effectiveness in real-size buildings—An experimental and analytical study,2019,International Journal of Energy Research,3,10.1002/er.4519,Net-Zero / Zero-Energy Buildings,None mentioned,Not specified,"A long-term plan has been established at the Thermal Processing Laboratory (TPL) at McMaster University to investigate the use of various renewable energy–based technologies to achieve net-zero energy buildings (NZEB) in Canada. | Results presented herein confirm that the TBZ is an effective means of integrating solar energy into buildings, thereby reducing buildings' fossil fuel–based energy consumption."
2-s2.0-85078808760,Comparative assessment of different air-conditioning systems for nearly/net zero-energy buildings,2020,International Journal of Energy Research,49,10.1002/er.5065,Net-Zero / Zero-Energy Buildings,None mentioned,Not specified,"This study deals with the performance of different air-conditioning strategies for achieving the target of nearly/net zero energy in a medium-scale building under various environmental conditions. | The present study shows that target of nearly/net zero-energy building can be achieved in an efficient manner through radiant VC-based system with VC-DOAS for hot-dry and composite (ie, hot-dry with higher humidity) environment conditions. | However, for warm-humid environment, complete net zero is not possible, but up to 74% of net zero target can be assured with VC-based radiant and DOAS. | With respect to the conventional VC-based system, the payback period assessment for the most suitable nearly/net zero building cooling system varies in the range of 5-9 years, depending on the environmental conditions."
2-s2.0-85077169231,Assessing the sustainable abilities of a pilot hybrid solar-pyrolysis energy system using emergy synthesis,2020,International Journal of Energy Research,12,10.1002/er.5110,Other,None mentioned,Not specified,
2-s2.0-85132621321,Introducing the cold-ironing technique and a hydrogen-based hybrid renewable energy system into ports,2022,International Journal of Energy Research,33,10.1002/er.8059,Net-Zero / Zero-Energy Buildings,None mentioned,Not specified,
2-s2.0-85007134380,Parametric analysis and systems design of dynamic photovoltaic shading modules,2016,Energy Science and Engineering,66,10.1002/ese3.115,BIPV Technical Performance,None mentioned,Shading BIPV,Integrating PV (photovoltaics) in shading systems opens new opportunities for BIPV (building integrated photovoltaics) on façades.
2-s2.0-85144096254,Impact resistance of BIPV systems: New testing procedure for performance assessment of multifunctional products,2023,Energy Science and Engineering,6,10.1002/ese3.1364,Policy / Regulation,None mentioned,Generic PV / BAPV,"Building integrated photovoltaics (BIPV) is progressively achieving an advanced level of technical maturity and considerable market penetration. | To overcome some of these barriers and challenges, the authors propose a newly developed procedure for testing the impact resistance of BIPV products, introducing a performance-based approach with the goal of combining building and electrical-related limit states and responding to the need for a harmonized assessment to ensure the product's safety in use."
2-s2.0-85091462539,A data-driven modeling and analysis approach to test the resilience of green buildings to uncertainty in operation patterns,2020,Energy Science and Engineering,14,10.1002/ese3.808,GBRS Comparative Analysis,Estidama / Pearl,Generic PV / BAPV,"Using building energy modeling coupled with an extensive empirical Monte Carlo analysis scheme, the framework quantifies and compares the response of a building to uncertainty in key technical and operational features before and after the adoption of green building certification specifications. | Results show that adopting the green building features of the local “Estidama” building code reduces energy demand by an average of 17%. | Finally, the techno-economic potential for solar photovoltaic (PV) adoption is also assessed, showing an estimated 16% reduction in capital costs."
2-s2.0-85053038349,Yardstick competition-based comprehensive assessment approach of power system security with intermittent generation integration,2019,International Transactions on Electrical Energy Systems,2,10.1002/etep.2706,Other,None mentioned,Not specified,"Given the differentiation of the influence of different intermittent generation integration scenarios upon grid security and the absence of unified assessment standards, this paper utilizes the theory of relative competition to propose a yardstick competition based single indicator assessment method, so as to determine the weight with variation coefficient and adopt gray correlation analysis method to build a comprehensive assessment model."
2-s2.0-105009775505,Sustainable Strategies for Optimizing the Reduction of GHG Emissions in Qatar's Football Stadiums,2025,Greenhouse Gases: Science and Technology,0,10.1002/ghg.2363,Other,None mentioned,Not specified,
2-s2.0-105030561384,"Pathways to SDGs: How Governance, Economic Growth and Environmental Management Shape Sustainability in South Asia",2026,Geological Journal,0,10.1002/gj.70174,Other,None mentioned,Not specified,
2-s2.0-85100491144,Sustainability assessment of wind turbines using fuzzy logic,2021,Heat Transfer,2,10.1002/htj.21921,Other,None mentioned,Not specified,
2-s2.0-105024440949,"A Review of the Strategies Used in the Recovery and Passivation of Lead in Lead-Based Perovskite Solar Cells: Balancing Device Efficiency, Toxicity, and Environmental Sustainability",2026,Natural Sciences,2,10.1002/ntls.70041,BIPV Technical Performance,None mentioned,Not specified,Strategies for Blocking Lead: Two primary approaches to address this challenge are chemical passivation and the use of physical barriers. | Future Outlook: Lays down the roadmap for adopting lead-baed perovskites. | Conclusions: Overcoming the degradation and stability challenges of lead-based perovskite solar cells offers promise for the adoption of high performance solar cells.
2-s2.0-84959882944,"Photovoltaics' architectural and landscape design options for Net Zero Energy Buildings, towards Net Zero Energy Communities: Spatial features and outdoor thermal comfort related considerations",2016,Progress in Photovoltaics: Research and Applications,24,10.1002/pip.2563,Net-Zero / Zero-Energy Buildings,None mentioned,Generic PV / BAPV,"Net Zero Energy Building (NetZEB) design has become a crucial topic of research in recent years. | In regard to photovoltaics' (PV) design, research demonstrated the following: (1) PV is an indispensable technology for meeting the net zero energy target; (2) meeting the target of the net zero energy balance at the architectural scale (by using only the surfaces of the building envelope to place renewables) is very difficult and therefore (3) an extension of the balance boundary to a wider scale is needed. | That is the concept of NetZEB should be advanced towards the one of Net Zero Energy Communities (NetZECs). | In view of such an enlargement of the design domain, this paper investigates architectural and landscape design options (spatial features and outdoor thermal comfort considerations) for PV, on the basis of the analysis of case studies collected and assessed in the framework of the International Energy Agency Solar Heating and Cooling Programme-Energy in Buildings and Communities Programme (SHC-EBC) Task 40-Annex 52 Net Zero Energy Solar Buildings."
2-s2.0-84952332979,Developing a method and simulation model for evaluating the overall energy performance of a ventilated semi-transparent photovoltaic double-skin facade,2016,Progress in Photovoltaics: Research and Applications,73,10.1002/pip.2727,BIPV Technical Performance,None mentioned,Window / Curtain Wall BIPV,"To simulate the overall energy performance, the airflow network model, daylighting model, and the Sandia Array Performance Model in the EnergyPlus software were adopted to simultaneously simulate the thermal, daylighting, and dynamic power output performances of the PV-DSF."
2-s2.0-85107380285,Performance Analysis of a Prototype High-Concentration Photovoltaic System Coupled to Silica Optical Fibers,2021,Physica Status Solidi (A) Applications and Materials Science,2,10.1002/pssa.202100027,Net-Zero / Zero-Energy Buildings,None mentioned,Generic PV / BAPV,"Their development is still at an early stage, but the possibility of integrating high-concentration systems into buildings offers new opportunities to achieve the net-zero-energy building goal."
2-s2.0-85217709424,"Performance of Building-Integrated Photovoltaic and Addressing the Challenges of Color, Safety, and Light-Emitting Diode Integration",2025,Physica Status Solidi (A) Applications and Materials Science,1,10.1002/pssa.202400834,BIPV Technical Performance,None mentioned,Generic PV / BAPV,"Building-integrated photovoltaics (BIPVs) provide a dual-purpose solution, functioning as both energy-generating systems and integral building materials. | BIPV adoption has been limited due to a lack of color integration, preventing the panels from being used in building designs. | BIPV implementation faces several challenges that hinder widespread adoption, such as fire safety concerns and the integration of color aesthetics and light-emitting diode technology."
2-s2.0-85081985920,Sustainability assessment of energy sector development in China and European Union,2020,Sustainable Development,46,10.1002/sd.2056,Policy / Regulation,None mentioned,Not specified,
2-s2.0-85215530016,Advancing Sustainability Assessment of Renewable Energy: A Study on Indicator-to-Framework Methods and Associated Rule Mining,2025,Sustainable Development,5,10.1002/sd.3331,Other,None mentioned,Not specified,
2-s2.0-105023288517,Next Generation National SDGs Assessments: From Progress Reporting to Exploring Policy Pathways and Causal Dynamics,2025,Sustainable Development,0,10.1002/sd.70457,Net-Zero / Zero-Energy Buildings,None mentioned,Not specified,"By synthesising these pieces of analysis, three policy priorities for Australia are identified: (1) Addressing areas of persistent underperformance (poverty and inequality goals) and recent backsliding (health and education goals) where progress is foundational to broader SDGs achievement; (2) Leveraging momentum in the renewable energy transition to catalyse broader systemic shifts in green manufacturing and net zero transitions in hard to abate sectors (e.g., transport, buildings, industry and land-use) and (3) Building long-term resilience of SDGs progress and anticipating trade-offs and reinforcing synergies across the goals."
2-s2.0-105029408144,Predicting Turkey's Sustainable Development Performance Using Machine Learning,2026,Sustainable Development,0,10.1002/sd.70750,Other,None mentioned,Not specified,
2-s2.0-85204311283,Outdoor Performance Analysis of Semitransparent Photovoltaic Windows with Bifacial Cells and Integrated Blinds,2024,Solar RRL,3,10.1002/solr.202400515,BIPV Technical Performance,None mentioned,Window / Curtain Wall BIPV,"The stricter requirements for the energy performance of buildings are creating a market for several building-integrated photovoltaic (BIPV) technologies, including photovoltaic (PV) windows."
2-s2.0-105002735045,Stable Colored Photovoltaics with Thiol–Ene Crosslinked InP/ZnSexS1−x/ZnS Quantum Dot-Polymer Downshifting Layers,2025,Small Structures,2,10.1002/sstr.202400651,BIPV Technical Performance,None mentioned,Generic PV / BAPV,Building integrated photovoltaics (BIPVs) combine building materials and PV cells to support net zero energy buildings and maintain aesthetics.
2-s2.0-80155186956,Sustainability assessment for steel constructions of renewables; [Zur nachhaltigkeitsbewertung von stahlkonstruktionen für regenerative energien],2011,Stahlbau,5,10.1002/stab.201101475,Other,None mentioned,Not specified,
2-s2.0-84876562034,Motion in the building envelope? Comparison of passive and active concepts; [Bewegung in der Gebäudehülle? Gegenüberstellung passiver und aktiver Konzepte],2013,Stahlbau,3,10.1002/stab.201390071,Other,Passive House,Not specified,
2-s2.0-84903845887,Sustainability of steel constructions of renewables; [Nachhaltige Stahlkonstruktionen für Erneuerbare Energien],2014,Stahlbau,2,10.1002/stab.201410169,Other,None mentioned,Not specified,
2-s2.0-84960398096,Sustainability in highrise building design and construction,2016,Structural Design of Tall and Special Buildings,52,10.1002/tal.1276,Net-Zero / Zero-Energy Buildings,None mentioned,Not specified,"A number of concepts in sustainable design are reviewed including passive solar design, renewable energy resources, cogeneration and tri-generations, embodied energy reduction, net zero energy building, carbon emission reduction, envelope environment quality, green materials, efficient mechanical design and innovative structural systems. | In order to achieve net zero energy in a new highrise building, first, multiple green solutions need to be evaluated using two categorical solutions: passive solar and envelop environment design and renewable energy resources along with efficient energy generators."
2-s2.0-84959335770,Mandating better buildings: A global review of building codes and prospects for improvement in the United States,2016,Wiley Interdisciplinary Reviews: Energy and Environment,27,10.1002/wene.168,Net-Zero / Zero-Energy Buildings,None mentioned,Not specified,
2-s2.0-85132019020,"Economic, social, and environmental aspects of Positive Energy Districts—A review",2022,Wiley Interdisciplinary Reviews: Energy and Environment,29,10.1002/wene.452,Net-Zero / Zero-Energy Buildings,None mentioned,Not specified,"There are a plethora of concepts similar to PEDs, such as Positive Energy Community, Net Zero Energy Neighborhood, Plus Energy Districts, that create a need to establish a structure that can facilitate the definition, development, and precise identification of PEDs. | This article is categorized under: Climate and Environment > Net Zero Planning and Decarbonization Policy and Economics > Energy Transitions Human and Social Dimensions > Energy and Climate Justice."
2-s2.0-85212043127,Sustainability assessment of solar-powered drip irrigation for sugarcane in Egypt: A water–energy–food–ecosystem nexus perspective,2025,World Water Policy,3,10.1002/wwp2.12247,Policy / Regulation,None mentioned,Not specified,"This study investigates the adoption of solar-powered drip irrigation systems in Egypt's sugarcane agriculture, analyzing the potential for improved sustainability through the water–energy–food–ecosystems (WEFE) nexus. | Conclusively, the findings support the viability of integrating solar-powered drip irrigation systems in Egyptian agriculture as a sustainable solution to improve resource efficiency, enhance productivity, and minimize environmental impacts. | This study contributes to the broader discourse on sustainable agriculture by providing empirical evidence of the economic and ecological benefits of adopting advanced irrigation and energy technologies. | Recommendations for policy include investment in infrastructure, subsidies for sustainable technologies, and farmer training to promote widespread adoption."
2-s2.0-84892511884,Sustainability assessment of solar technologies based on linguistic information,2013,Green Energy and Technology,9,10.1007/978-1-4471-5143-2_1,Other,None mentioned,Not specified,
2-s2.0-85044442713,Sustainability assessment of fuels production via hydrotreating waste lipids and co-processing waste lipids with petroleum fractions,2016,Green Energy and Technology,2,10.1007/978-3-319-30127-3_30,Policy / Regulation,None mentioned,Not specified,
2-s2.0-85009110662,EU-GUGLE: A sustainable renovation for smarter cities from a pilot project,2017,Green Energy and Technology,5,10.1007/978-3-319-44899-2_21,Net-Zero / Zero-Energy Buildings,None mentioned,Not specified,
2-s2.0-79955798421,Renewable energy provisioning for ICT services in a future internet,2011,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),10,10.1007/978-3-642-20898-0_30,Policy / Regulation,Green Star,Not specified,
2-s2.0-84884314230,Singapore's perspective on energy and future cities,2011,Green Energy and Technology,0,10.1007/978-4-431-53910-0_1,Net-Zero / Zero-Energy Buildings,None mentioned,Not specified,
2-s2.0-84855910406,Energy efficiency: The pathway toward a nuclear-free world,2011,Elektrotechnik und Informationstechnik,0,10.1007/s00502-011-0061-1,Other,Passive House,Not specified,
2-s2.0-85107860495,Thermal modeling of a Swiss urban aquifer and implications for geothermal heat pump systems; [瑞士城市含水层的热模拟及其对地热热泵系统的影响]; [Modélisation thermique d’un aquifère urbain suisse et implications pour les systèmes de pompes à chaleur géothermiques]; [Modellazione termica di un acquifero urbano Svizzero e implicazioni per impianti geotermici a pompa di calore]; [Modelagem térmica de um aquífero urbano suíço e as implicações para os sistemas de bombeamento de calor geotermal]; [Modelado térmico en un acuífero urbano suizo y consecuencias para los sistemas de bombas geotérmicas],2021,Hydrogeology Journal,7,10.1007/s10040-021-02355-7,Other,None mentioned,Not specified,
2-s2.0-82355188373,Sustainability considerations of biodiesel based on supply chain analysis,2011,Clean Technologies and Environmental Policy,77,10.1007/s10098-010-0346-9,Other,None mentioned,Not specified,
2-s2.0-84908527610,Life cycle sustainability assessment (LCSA) for selection of sewer pipe materials,2025,Clean Technologies and Environmental Policy,61,10.1007/s10098-014-0849-x,BIPV Economics / LCA,None mentioned,Not specified,
2-s2.0-84966564954,Possibilities and sustainability of “biomass for power” solutions in the case of a coal-based power utility,2016,Clean Technologies and Environmental Policy,19,10.1007/s10098-016-1193-0,Other,None mentioned,Not specified,
2-s2.0-84982179824,Sustainability assessment of Ricinus communis biodiesel using LCA Approach,2017,Clean Technologies and Environmental Policy,32,10.1007/s10098-016-1262-4,Policy / Regulation,None mentioned,Not specified,
2-s2.0-85092492333,Identifying cost-optimal options for a typical residential nearly zero energy building’s design in developing countries,2020,Clean Technologies and Environmental Policy,22,10.1007/s10098-020-01962-4,Net-Zero / Zero-Energy Buildings,None mentioned,Not specified,
2-s2.0-85151456482,"Environmental sustainability assessment of single-family modular homes using performance benchmarks of conventional homes: case studies in British Columbia, Canada",2023,Clean Technologies and Environmental Policy,10,10.1007/s10098-023-02495-2,Policy / Regulation,None mentioned,Not specified,
2-s2.0-85193833467,Proposal of a multi-expert multi-criteria model for the sustainability assessment of industrial systems under uncertainty,2025,Clean Technologies and Environmental Policy,3,10.1007/s10098-024-02828-9,Other,None mentioned,Not specified,
2-s2.0-85205047900,Role of financial regulations and climate policy uncertainty in reducing CO2 emissions—an application of bootstrap subsample rolling-window Granger causality,2025,Clean Technologies and Environmental Policy,8,10.1007/s10098-024-02991-z,Policy / Regulation,None mentioned,Not specified,
2-s2.0-85210558456,"A comprehensive energy, exergy, economic, and environmental impact assessment of building-integrated photovoltaic systems",2025,Clean Technologies and Environmental Policy,5,10.1007/s10098-024-03099-0,BIPV Technical Performance,None mentioned,Window / Curtain Wall BIPV,"The experimental investigation evaluates the performance of a single standard photovoltaic module (SPV), window-integrated photovoltaic module (WIPV), and BIPV system. | Building integrated photovoltaics (BIPV) technology has become a substantial avenue for urban development, offering alternative energy sources and reducing the environmental impact of conventional energy systems."
2-s2.0-85210092828,"Applications, technologies, and evaluation methods in smart aquaponics: a systematic literature review",2025,Artificial Intelligence Review,13,10.1007/s10462-024-11003-x,Other,None mentioned,Not specified,
2-s2.0-85075807430,"Co-creation, co-evolution and co-governance: understanding green businesses and urban transformations",2020,Climatic Change,36,10.1007/s10584-019-02541-3,Other,None mentioned,Not specified,
2-s2.0-85084059450,Untangling the interactions of sustainability targets: synergies and trade-offs in the Northern European context,2021,"Environment, Development and Sustainability",28,10.1007/s10668-020-00726-w,Policy / Regulation,None mentioned,Not specified,
2-s2.0-85109337735,An indicator-based sustainability assessment method for indigenous communities: a case study from Mexico,2022,"Environment, Development and Sustainability",8,10.1007/s10668-021-01567-x,Other,None mentioned,Not specified,
2-s2.0-85122695965,"A quantitative sustainable comparative study of two biogas systems based on energy, emergy and entropy methods in China",2022,"Environment, Development and Sustainability",5,10.1007/s10668-021-02002-x,Other,None mentioned,Not specified,
2-s2.0-85153745156,Sustainability assessment of biomass-based energy supply chain using multi-objective optimization model,2024,"Environment, Development and Sustainability",27,10.1007/s10668-023-03258-1,Other,None mentioned,Not specified,
2-s2.0-85166952070,Assessing energy use and greenhouse gas emissions in Cretan vineyards for the development of a crop-specific decision support tool,2024,"Environment, Development and Sustainability",6,10.1007/s10668-023-03649-4,Other,None mentioned,Not specified,
2-s2.0-86000426884,The environmental sustainability assessment of building ceramic manufacturing based on the LCA-emergy approach,2025,"Environment, Development and Sustainability",2,10.1007/s10668-023-04114-y,Other,None mentioned,Not specified,"Given the specific performances of the ceramic production system, a full set of improved emergy indicators have been adopted to assess environmental sustainability."
