GBRS,Version,Country,Dimension,Credit_ID,Credit_Name,Category,PV_Relevance,Verbatim_Text,Page_Ref,Implication,Data_Quality
LEED,v4.1 BD+C,USA,D-SITE,—,—,Sustainable Sites,Neutral with potential,....................... 36 LT CREDIT: ELECTRIC VEHICLES ........................................................................................................... 39 SS PREREQUISITE: CONSTRUCTION ACTIVITY POLLUTION PREVENTION ...................................... 43 S…,2,Solar potential assessment prerequisite for viable BIPV; should link explicitly.,verified
LEED,v4.1 BD+C,USA,D-SITE,—,—,Sustainable Sites,Neutral with potential,.................................................................. 39 SS PREREQUISITE: CONSTRUCTION ACTIVITY POLLUTION PREVENTION ...................................... 43 SS PREREQUISITE: ENVIRONMENTAL SITE ASSESSMENT ...................................................…,2,Solar potential assessment prerequisite for viable BIPV; should link explicitly.,verified
LEED,v4.1 BD+C,USA,D-SITE,—,—,Sustainable Sites,Neutral with potential,• Site Assessment is more relevant to international project teams; the US specific TR- 55 standard is no longer required. Water Efficiency • Updates to Indoor Water Use Reduction recognize variations in standard supply pressure across the globe and the European product …,6,Solar potential assessment prerequisite for viable BIPV; should link explicitly.,verified
LEED,v4.1 BD+C,USA,D-SITE,Credit Bicycle,—,Sustainable Sites,Neutral with potential,ity Transit 5 6 4 5 5 5 5 2 Credit Bicycle Facilities 1 1 1 1 1 1 1 1 Credit Reduced Parking Footprint 1 1 1 1 1 1 1 1 Credit Electric Vehicles 1 1 1 1 1 1 1 1 SUSTAINABLE SITES 10 11 12 10 10 10 10 9 Construction Activity Pollution Prerequisite Prevention P P P P P P P…,7,Solar potential assessment prerequisite for viable BIPV; should link explicitly.,verified
LEED,v4.1 BD+C,USA,D-SITE,Credit Bicycle,—,Sustainable Sites,Neutral with potential,Credit Bicycle Facilities 1 1 1 1 1 1 1 1 Credit Reduced Parking Footprint 1 1 1 1 1 1 1 1 Credit Electric Vehicles 1 1 1 1 1 1 1 1 SUSTAINABLE SITES 10 11 12 10 10 10 10 9 Construction Activity Pollution Prerequisite Prevention P P P P P P P P Prerequisite Environmenta…,7,Solar potential assessment prerequisite for viable BIPV; should link explicitly.,verified
Green Mark,2024,SG,D-EV,Annex 1,—,Sustainable Transport,Neutral with potential,"GREEN MARK 2021 RATINGS GM: 2021 is positioned to recognise performance that is above the mandatory, regulated standards, that include robust levels of energy efficiency, indoor air quality, greenery provision, active mobility considerations, materials and waste managem…",15,EV credit creates indirect PV demand; recommend explicit solar-charged EV pathway.,verified
Green Mark,2024,SG,D-EV,End-of,—,Sustainable Transport,Neutral with potential,"% energy efficiency Provide greenery and improvement over 2005 communal spaces code PUB Water Efficiency Management Practices NEA Waste Management Ensuring climate resilience, Reduce waste and water monitoring and promote recycling management NParks Greenery Provision a…",28,EV credit creates indirect PV demand; recommend explicit solar-charged EV pathway.,verified
DGNB,NC 2020,DE,D-LCA,ENV1,—,Materials & Resources,Neutral with potential,DGNB System – New buildings criteria set Environmental quality VERSION 2020 INTERNATIONAL ENV1.1 / BUILDING LIFE CYCLE ASSESSMENT 6.4 Efficient use and sustainable 6.1.a Water quality extraction of water 7.2.b Renewable energy Low 12.4 Environmentally friendly handling …,2,LCA system boundary ambiguous for PV; should explicitly include BIPV modules.,verified
DGNB,NC 2020,DE,D-LCA,CO2,—,Materials & Resources,Neutral with potential,"ed renewable energy can at least compensate the building operation (building + user energy demand) related CO2 equiv. emissions. 4.1.4 Climate neutral construction: +5 The total greenhouse gas emissions from manufacture, maintenance and end-of-life of the construction (…",5,LCA system boundary ambiguous for PV; should explicitly include BIPV modules.,verified
DGNB,NC 2020,DE,D-LCA,C3,—,Materials & Resources,Enabling,"sal (modules C3, C4) incl. recycling potential (module D)of the replaced product, not the replacement process itself (same as for construction process). 1.3 Calculation rules for the building model The physical building model enables mass and energy flows to be quantifi…",15,LCA framework can include BIPV as building product — explicit inclusion recommended.,verified
DGNB,NC 2020,DE,D-LCA,—,—,Materials & Resources,Enabling,"tential (module D)of the replaced product, not the replacement process itself (same as for construction process). 1.3 Calculation rules for the building model The physical building model enables mass and energy flows to be quantified. Its link to corresponding life cycl…",15,LCA framework can include BIPV as building product — explicit inclusion recommended.,verified
DGNB,NC 2020,DE,D-LCA,—,—,Materials & Resources,Neutral with potential,ncluding coatings and internal columns) (7) Heating and cooling systems and air conditioning systems (8) Other building installations (e.g. photovoltaic systems or the use of solar collectors) (9) In individual cases: User equipment with considerable energy consumption …,17,LCA system boundary ambiguous for PV; should explicitly include BIPV modules.,verified
DGNB,NC 2020,DE,D-CARBON,ENV1,—,Energy & Atmosphere,Neutral with potential,gs criteria set Environmental quality VERSION 2020 INTERNATIONAL ENV1.1 / BUILDING LIFE CYCLE ASSESSMENT EVALUATION 4.1.1 Partial consideration of the building operation – building energy demand: +10 The building-related energy demand is determined in accordance with th…,5,Carbon credit mathematically requires renewable generation; BIPV not yet named.,verified
DGNB,NC 2020,DE,D-CARBON,CO2,—,Energy & Atmosphere,Neutral with potential,mpensate the building energy demand related CO2 equiv. emissions. 4.1.2 Partial consideration of the building operation – user energy demand: +10 The user-related energy demand (usually exceeds the standard EPC calculation boundaries) is determined in accordance with th…,5,Carbon credit mathematically requires renewable generation; BIPV not yet named.,verified
DGNB,NC 2020,DE,D-CARBON,CO2,—,Energy & Atmosphere,Neutral with potential,"ensate the user energy related CO2 equiv. emissions. 4.1.3 Climate-neutral building operation: +20 Alternatively, to 4.1.1 and 4.1.2 the following can be assigned: The total energy demand (operation = building energy plus user energy) is determined in accordance with th…",5,Carbon credit mathematically requires renewable generation; BIPV not yet named.,verified
DGNB,NC 2020,DE,D-CARBON,CO2,—,Energy & Atmosphere,Neutral with potential,es” of the DGNB. The boundary conditions of the use phase must reflect the reality as precise as possible. On site generated renewable energy can at least compensate the building operation (building + user energy demand) related CO2 equiv. emissions. 4.1.4 Climate neutr…,5,Carbon credit mathematically requires renewable generation; BIPV not yet named.,verified
DGNB,NC 2020,DE,D-CARBON,CO2,—,Energy & Atmosphere,Neutral with potential,"rbon neutral buildings and sites” evaluates a performance of the calculation tool. It evaluates technical, spatial and temporal aspects for a realistic energy / CO2 calculation. ◼ For indicators 4.1.1 and 4.1.2 the following simplified calculation method, which deviates…",11,Carbon credit mathematically requires renewable generation; BIPV not yet named.,verified
Passive House,v10c 2023,DE,D-ENV,load6,—,Energy / Envelope,Neutral with potential,olar load6 Insu- Exterior Interior in- Exterior Max. Min. Climate lation insulation sulation2 paint3 Max. heat Solar heat gain specific heat Min. hu- transfer solar load midity re- zone coefficient reco- according Max. heat transfer coefficient Cool coefficient (g-value…,12,BIPV facade falls within scope but no explicit pathway; guidance gap.,verified
Passive House,v10c 2023,DE,D-ENV,off-grid,—,Energy / Envelope,Neutral with potential,he PV system).  Other renewable energy generation systems: suitable evidence of the predicted annual power generation of the system (simulation). Renewable energy generation is considered in the same way for buildings off-grid or connected to the grid (3.2.9.b). 3.2.10…,34,BIPV facade falls within scope but no explicit pathway; guidance gap.,verified
Passive House,v10c 2023,DE,D-SITE,—,—,Sustainable Sites,Neutral with potential,Ground probe or ground collector in combination with a heat pump if present Boiler Performance ratio of heat generator: boiler if present District Heating District heat transfer station if present 3.2.2 Design and planning documents See extended version: ►3.2.2  Site p…,29,Solar potential assessment prerequisite for viable BIPV; should link explicitly.,verified
Passive House,v10c 2023,DE,D-CARBON,than 15,—,Energy & Atmosphere,Neutral with potential,"e acquisition). 8 Alternative PER criteria If the PER demand exceeds the standard criterion, the limit value for the PER demand is increased as much as necessary, but by no more than 15 kWh/(m²a). A prerequisite for this is that the difference between the standard PER l…",11,Carbon credit mathematically requires renewable generation; BIPV not yet named.,verified
Passive House,v10c 2023,DE,D-CARBON,Table 2,—,Energy & Atmosphere,Neutral with potential,"dingly better thermal protection in other areas. In addition to the criteria in either Table 2 or Table 3, the EnerPHit building must always meet the general criteria in Table 4. The EnerPHit building achieves the classification of Classic, Plus or Premium depending on …",11,Carbon credit mathematically requires renewable generation; BIPV not yet named.,verified
LBC,4.0,USA,D-CARBON,on-site,—,Energy & Atmosphere,Neutral with potential,"through the on-site production of renewable energy. The marketplace has characterized net zero energy in many different ways, but ILFI has a simple definition: One hundred percent of the building’s energy needs on a net annual basis must be supplied by on-site renewable…",27,Carbon credit mathematically requires renewable generation; BIPV not yet named.,verified
LBC,4.0,USA,D-CARBON,on-site,—,Energy & Atmosphere,Neutral with potential,"ction of renewable energy. The marketplace has characterized net zero energy in many different ways, but ILFI has a simple definition: One hundred percent of the building’s energy needs on a net annual basis must be supplied by on-site renewable energy, with no combusti…",27,Carbon credit mathematically requires renewable generation; BIPV not yet named.,verified
LBC,4.0,USA,D-CARBON,on-site,—,Energy & Atmosphere,Neutral with potential,"N energy through a twelve month performance period. All Imperatives required for this certification are described in this Standard, and are consolidated into the Core Green Building Certification Standard. ZERO ENERGY CERTIFICATION Zero Energy (ZE) Certification is for …",27,Carbon credit mathematically requires renewable generation; BIPV not yet named.,verified
LBC,4.0,USA,D-CARBON,on-site,—,Energy & Atmosphere,Neutral with potential,"e described in this Standard, and are consolidated into the Core Green Building Certification Standard. ZERO ENERGY CERTIFICATION Zero Energy (ZE) Certification is for projects focused on achieving net zero energy through the on-site production of renewable energy. The …",27,Carbon credit mathematically requires renewable generation; BIPV not yet named.,verified
LBC,4.0,USA,D-CARBON,trouble-shoot,—,Energy & Atmosphere,Neutral with potential,"method to understand and trouble-shoot energy use. All projects must account for the total embodied carbon NET POSITIVE emissions (tCO2e) from construction (including the energy consumed during construction), through the utilization of CARBON carbon-sequestering materia…",45,Carbon credit mathematically requires renewable generation; BIPV not yet named.,verified
MINERGIE,2023,CH,D-CARBON,least 60,—,Energy & Atmosphere,Neutral with potential,upply to the charging Empty pipes to the parking No requirement station for at least 60% of the space parking spaces Monitoring From 1000m2 ERA Measure- From 2000m2 ERA Measure- Annual recording of electricity and water consumption ment of the relevant energy ment of th…,2,Carbon credit mathematically requires renewable generation; BIPV not yet named.,verified
CASBEE,BD 2024,JP,D-SITE,—,—,Sustainable Sites,Neutral with potential,le imput; Introduction of airflow windows 3.0 0.25 3.0 - 3 Zoned Control － 3.0 0.38 - - 2 .2Humidity Control － 3.0 0.20 3.0 - 2 .3Type of Air Conditioning System － 3.0 0.30 3.0 - 3 Li ghting & Illumination 3.0 0.25 - - 3.0 3.1Daylighting 3.0 0.30 - - 1 Daylight Factor －…,31,Solar potential assessment prerequisite for viable BIPV; should link explicitly.,verified
Estidama Pearl,v1.0,UAE,D-SITE,—,—,Sustainable Sites,Neutral with potential,Villa Pearl Rating System. (cid:1) Holding regular design workshops with active involvement by relevant members of the IDT to discuss issues; develop solutions; and assign responsibilities and actions forward. At a minimum the following topics must be discussed collabor…,24,Solar potential assessment prerequisite for viable BIPV; should link explicitly.,verified
Estidama Pearl,v1.0,UAE,D-SITE,—,—,Sustainable Sites,Neutral with potential,"n showing preserved or protected valuable assets Submission: (where relevant) Construction Rating Calculations and The Natural Systems Assessment Report must cover the following environmental Methodology components, as a minimum: (cid:1) Flora and fauna (cid:1) Microcli…",37,Solar potential assessment prerequisite for viable BIPV; should link explicitly.,verified
GRIHA,v2019,IN,D-ENV,Table 10,—,Energy / Envelope,Neutral with potential,for each orientation as per Table 10.2c requirements. –Mandatory Table 10.2c: Maximum SHGC for vertical fenestration for different climate typologies Orientation of Fenestratation Composite Hot Warm and Temperate/ Cold and Dry Humid Moderate Maximum SHGC Non-North* 0.27…,82,BIPV facade falls within scope but no explicit pathway; guidance gap.,verified
GRIHA,v2019,IN,D-ENV,Table 9,—,Energy / Envelope,Neutral with potential,"culations demonstrating compliance with the DA requirements through extrapolation in the case of mixed use buildings. Alternative 2: 10.2.8 Submit WWR calculation for the entire building envelope along with drawings (in. dwg format) highlighting the opaque, translucent,…",84,BIPV facade falls within scope but no explicit pathway; guidance gap.,verified
GRIHA,v2019,IN,D-ENV,Table 9,—,Energy / Envelope,Neutral with potential,"lation for the entire building envelope along with drawings (in. dwg format) highlighting the opaque, translucent, and transparent areas in the façade to demonstrate compliance with Appraisal 10.1.1. 10.2.9 Submit narrative and calculations demonstrating compliance for …",84,BIPV facade falls within scope but no explicit pathway; guidance gap.,verified
GRIHA,v2019,IN,D-ENV,Table 9,—,Energy / Envelope,Neutral with potential,tion as prescribed in ECBC 2017 And/Or • Fenestration design in accordance with Table 9 and Table 10 of SP41 And/Or • Solar path analysis Or • Any combination of the above strategies can also be used to show compliance for 100% of the fenestrations. 10.2.10 Submit calcu…,84,BIPV facade falls within scope but no explicit pathway; guidance gap.,verified
LOTUS,v2.0,VN,D-SITE,—,—,Sustainable Sites,Neutral with potential,"ting in the building, while ensuring comfort for all occupants Requirements Criteria Points Energy Conduct Passive Design Analysis Prerequisite 1 Overview Passive Design Analysis (Energy Prerequisite 1) Passive design analysis evaluates the site location, surroundings a…",35,Solar potential assessment prerequisite for viable BIPV; should link explicitly.,verified
LOTUS,v2.0,VN,D-SITE,well-positioned,—,Sustainable Sites,Neutral with potential,"& Implementation Passive Design Analysis (Energy Prerequisite 1) The following factors should be considered in a passive design strategy: Climatic Data  Providing monthly data of the site for the following climatic parameters: temperature, humidity, irradiation, rainfa…",35,Solar potential assessment prerequisite for viable BIPV; should link explicitly.,verified
LOTUS,v2.0,VN,D-SITE,Sun-paths,—,Sustainable Sites,Neutral with potential," Appropriate orientation assists passive cooling by minimizing its exposure to the sun and maximizing the effect of trade winds, resulting in improved comfort and decreased energy consumption (Figure E.1) Figure E.1: Sun-paths for Hanoi and Ho Chi Minh City Glazing  S…",36,Solar potential assessment prerequisite for viable BIPV; should link explicitly.,verified
LOTUS,v2.0,VN,D-SITE,—,—,Sustainable Sites,Neutral with potential,"Zoning  Providing thoughtful zoning to allow different thermal requirements to be compartmentalized to reduce wasted energy Shading  Reducing solar gains at openings, outdoor spaces and building elevations can dramatically improve comfort and save energy  Utilizing o…",37,Solar potential assessment prerequisite for viable BIPV; should link explicitly.,verified
LOTUS,v2.0,VN,D-SITE,—,—,Sustainable Sites,Neutral with potential,"irements to be compartmentalized to reduce wasted energy Shading  Reducing solar gains at openings, outdoor spaces and building elevations can dramatically improve comfort and save energy  Utilizing of overhangs, louvers and planting which are effective means for shad…",37,Solar potential assessment prerequisite for viable BIPV; should link explicitly.,verified
